,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
4749,SBI Mutual Fund,SFMP51GR,SBI FIXED MATURITY PLAN (FMP) -SERIES 51-(1846 DAYS)- REGULAR PLAN -GROWTH,Active,F ,10.00,INF200KA1Z80,-,MF,-,-,-,-,
4750,SBI Mutual Fund,SFMP51DR,SBI FIXED MATURITY PLAN (FMP) -SERIES 51-(1846 DAYS)- REGULAR PLAN -IDCW PAYOUT,Active,F ,10.00,INF200KA1Z98,-,MF,-,-,-,-,
4751,SBI Mutual Fund,SFMP51GD,SBI FIXED MATURITY PLAN (FMP) -SERIES 51-(1846 DAYS)- DIRECT PLAN -GROWTH,Active,F ,10.00,INF200KA10A7,-,MF,-,-,-,-,
4752,SBI Mutual Fund,SFMP51DD,SBI FIXED MATURITY PLAN (FMP) -SERIES 51-(1846 DAYS)- DIRECT PLAN -IDCW PAYOUT,Active,F ,10.00,INF200KA11A5,-,MF,-,-,-,-,
4753,Prevest Denpro Limited,PREVEST,Prevest Denpro Ltd,Active,M ,10.00,INE0GAO01018,Healthcare,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,
4754,Markolines Traffic Controls Limited,MTCL,Markolines Traffic Controls Ltd,Active,M ,10.00,INE0FW001016,Construction,Equity,Industrials,Construction,Construction,Civil Construction,
4755,Mirae Asset Mutual Fund,MASPTOP50,Mirae Asset S&P 500 Top 50 ETF,Active,B ,20.00,INF769K01HP3,-,Equity,-,-,-,-,
4756,SBL Infratech Limited,SBLI,SBL Infratech Ltd,Active,M ,10.00,INE0DLM01024,Realty,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
4757,Paras Defence and Space Technologies Limited,PARAS,Paras Defence and Space Technologies Ltd,Active,B ,10.00,INE045601015,Capital ods,Equity,Industrials,Capital ods,Aerospace & Defense,Aerospace & Defense,
4758,SBI Mutual Fund,SFMP52GR,SBI Fixed Maturity Plan (FMP) -Series 52 (1848 Days) - Regular Plan - Growth,Active,F ,10.00,INF200KA12A3,-,MF,-,-,-,-,
4759,SBI Mutual Fund,SFMP52DR,SBI Fixed Maturity Plan (FMP) -Series 52 (1848 Days) - Regular Plan - IDCW payout,Active,F ,10.00,INF200KA13A1,-,MF,-,-,-,-,
4760,SBI Mutual Fund,SFMP52GD,SBI Fixed Maturity Plan (FMP)-SERIES 52-(1848 Days) - Direct Plan - Growth,Active,F ,10.00,INF200KA14A9,-,MF,-,-,-,-,
4761,SBI Mutual Fund,SFMP52DD,SBI-Fixed Maturity Plan - (FMP) - Series 52 - (1848 Days) - Direct Plan - IDCW Payout,Active,F ,10.00,INF200KA15A6,-,MF,-,-,-,-,
4762,Getalong Enterprise Limited,GETALONG,Getalong Enterprise Ltd,Active,M ,10.00,INE0H1201012,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products,
4763,Shri Venkatesh Refineries Limited,SVRL,Shri Venkatesh Refineries Ltd,Active,M ,10.00,INE0HLJ01013,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Edible Oil,
4764,Aditya Birla Sun Life AMC Limited,ABSLAMC,Aditya Birla Sun Life AMC Ltd,Active,B ,5.00,INE404A01024,Financial Services,Equity,Financial Services,Financial Services,Capital Markets,Asset Management Company,
4765,Promax Power Limited,PROMAX,Promax Power Ltd,Active,M ,10.00,INE0I2F01015,Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
4766,Samor Reality Limited,SAMOR,Samor Reality Ltd,Active,M ,10.00,INE0GD201014,Realty,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
4767,Adishakti Loha and Ispat Limited,ADISHAKTI,Adishakti Loha and Ispat Ltd,Active,M ,10.00,INE0CWK01019,Capital ods,Equity,Industrials,Capital ods,IN070205,Iron & Steel Products,
4768,CWD Limited,CWD,CWD Ltd,Active,MS,10.00,INE0H8H01019,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,
4769,SBI Mutual Fund,SFMP53GR,SBI Fixed Maturity Plan (FMP) - Series 53 (1839 Days)- Regular Plan- Growth,Active,F ,10.00,INF200KA16A4,-,MF,-,-,-,-,
4770,SBI Mutual Fund,SFMP53DR,SBI Fixed Maturity Plan (FMP) - Series 53 (1839 Days)- Regular Plan- IDCW Payout,Active,F ,10.00,INF200KA17A2,-,MF,-,-,-,-,
4771,SBI Mutual Fund,SFMP53GD,SBI Fixed Maturity Plan (FMP) - Series 53 (1839 Days) - Direct Plan - Growth,Active,F ,10.00,INF200KA18A0,-,MF,-,-,-,-,
4772,SBI Mutual Fund,SFMP53DD,SBI Fixed Maturity Plan (FMP) - Series 53 (1839 Days) - Direct Plan - IDCW Payout,Active,F ,10.00,INF200KA19A8,-,MF,-,-,-,-,
4773,ICICI Prudential Mutual Fund,ICICICONSU,ICICI Prudential Consumption ETF,Active,B ,10.00,INF109KC1V42,-,Equity,-,-,-,-,
4774,FSN E-Commerce Ventures Limited,NYKAA,FSN E-Commerce Ventures Ltd,Active,B ,1.00,INE388Y01029,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,
4775,National Highways Infra Trust,NHIT,National Highways Infra Trust,Active,IF,0.00,INE0H7R23014,Construction,Equity,Industrials,Construction,Construction,Civil Construction,
4776,National Highways Infra Trust,NHIT,National Highways Infra Trust,Active,IF,0.00,INE0H7R23014,Construction,Equity,Industrials,Construction,Construction,Civil Construction,
4777,Fino Payments Bank Limited,FINOPB,Fino Payments Bank Ltd,Active,B ,10.00,INE02NC01014,Financial Services,Equity,Financial Services,Financial Services,Banks,Other Bank,
4778,S.J.S. Enterprises Limited,SJS,S.J.S. Enterprises Ltd,Active,B ,10.00,INE284S01014,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
4779,DSP Mutual Fund,DSPNEWETF,DSP Nifty 50 Equal Weight ETF,Active,B ,10.00,INF740KA1QK2,-,Equity,-,-,-,-,
4780,Sigachi Industries Limited,SIGACHI,Sigachi Industries Ltd,Active,B ,10.00,INE0D0K01014,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
4781,PB Fintech Limited,POLICYBZR,PB Fintech Ltd,Active,B ,2.00,INE417T01026,Financial Services,Equity,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),
4782,Suyog Gurbaxani Funicular Ropeways Limited,SGFRL,Suyog Gurbaxani Funicular Ropeways Ltd,Active,M ,10.00,INE07GA01011,Construction,Equity,Industrials,Construction,Construction,Civil Construction,
4783,SBI Mutual Fund,SFMP54GR,SBI Fixed Maturity Plan (FMP) - Series 54 (1842 Days) - Regular Plan - Growth,Active,F ,10.00,INF200KA10B5,-,MF,-,-,-,-,
4784,SBI Mutual Fund,SFMP54DR,SBI Fixed Maturity Plan (FMP) -Series 54 (1842 Days) - Regular Plan  - IDCW Payout,Active,F ,10.00,INF200KA11B3,-,MF,-,-,-,-,
4785,SBI Mutual Fund,SFMP54GD,SBI Fixed Maturity Plan (FMP) - Series 54 (1842 Days) - Direct Plan - Growth,Active,F ,10.00,INF200KA12B1,-,MF,-,-,-,-,
4786,SBI Mutual Fund,SFMP54DD,SBI Fixed Maturity Plan (FMP) - Series 54 (1842 Days)-Direct Plan-IDCW Payout,Active,F ,10.00,INF200KA13B9,-,MF,-,-,-,-,
4787,One 97 Communications Limited,PAYTM,One 97 Communications Ltd,Active,B ,1.00,INE982J01020,Financial Services,Equity,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),
4788,Sapphire Foods India Limited,SAPPHIRE,Sapphire Foods India Ltd,Active,B ,10.00,INE806T01012,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,
4789,Latent View Analytics Limited,LATENTVIEW,Latent View Analytics Ltd,Active,B ,1.00,INE0I7C01011,Information Technology,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
4790,Tarsons Products Limited,TARSONS,Tarsons Products Ltd,Active,B ,2.00,INE144Z01023,Healthcare,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,
4791,Omnipotent Industries Limited,OMNIPOTENT,Omnipotent Industries Ltd,Active,M ,10.00,INE0JFE01012,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
4792,Go Fashion (India) Limited,GOCOLORS,Go Fashion (India) Ltd,Active,B ,10.00,INE0BJS01011,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,
4793,SBI Mutual Fund,SFMP55GR,SBI Fixed Maturity Plan (FMP) - Series 55 (1849 Days) - Regular Plan - Growth,Active,F ,10.00,INF200KA14B7,-,MF,-,-,-,-,
4794,SBI Mutual Fund,SFMP55DR,SBI Fixed Maturity Plan (FMP) - Series 55 (1849 Days) - Regular Plan - IDCW Payout,Active,F ,10.00,INF200KA15B4,-,MF,-,-,-,-,
4795,SBI Mutual Fund,SFMP55GD,SBI Fixed Maturity Plan (FMP) - Series 55 (1849 Days) - Direct Plan - Growth,Active,F ,10.00,INF200KA16B2,-,MF,-,-,-,-,
4796,SBI Mutual Fund,SFMP55DD,SBI Fixed Maturity Plan (FMP) - Series 55 (1849 Days) - Direct Plan - IDCW Payout,Active,F ,10.00,INF200KA17B0,-,MF,-,-,-,-,
4797,DMR Hydroengineering & Infrastructures Limited,DMR,DMR Hydroengineering & Infrastructures Ltd,Active,M ,10.00,INE07L501010,Services,Equity,Services,Services,Commercial Services & Supplies,Consulting Services,
4798,HI-TECH PIPES LIMITED,HITECH,Hi-Tech Pipes Ltd,Active,B ,10.00,INE106T01017,Capital ods,Equity,Industrials,Capital ods,IN070205,Iron & Steel Products,
4799,Star Health and Allied Insurance Company Limited,STARHEALTH,Star Health and Allied Insurance Company Ltd,Active,B ,10.00,INE575P01011,Financial Services,Equity,Financial Services,Financial Services,Insurance,General Insurance,
